construct_group_1	construct_group_2	edge_type	evidence_count	evidence_views	evidence_regions	evidence_modes	maximum_tm_score	best_rmsd_angstrom	best_aligned_length	best_aligned_fraction_of_shorter
G3S-0d6ea790d633fb5e	G3S-57f29a986d5123ab	validated_structural_similarity	1	S1	global	sequential	0.6731	3.49	241	0.8456140350877193
G3S-0d6ea790d633fb5e	G3S-e2e78f6cb47c8e4c	validated_structural_similarity	1	S1	global	sequential	0.6744	3.86	248	0.8701754385964913
G3S-3021d6a688e870ed	G3S-e9de90d69aed4dc3	validated_structural_similarity	1	S1	global	sequential	0.7387	2.78	98	0.98989898989899
G3S-3046f9edaa2c72bf	G3S-6454ff7a6533168a	validated_structural_similarity	1	S1	global	sequential	0.5069	2.96	78	0.6782608695652174
G3S-43586287a9be2906	G3S-e36179cfc1b7610c	validated_structural_similarity	1	S1	global	sequential	0.9219	1.89	277	0.9822695035460993
G3S-57f29a986d5123ab	G3S-e2e78f6cb47c8e4c	validated_structural_similarity	1	S1	global	sequential	0.8826	2.17	289	0.9633333333333334
G3S-7441d96b81b94068	G3S-8afbd56096fe1b47	validated_structural_similarity	1	S1	global	sequential	0.7889	2.33	111	0.9024390243902439
G3S-7441d96b81b94068	G3S-9838f6e0d45906f5	validated_structural_similarity	1	S1	global	sequential	0.7584	2.35	114	0.926829268292683
G3S-7441d96b81b94068	G3S-de0a2a7c1887af78	validated_structural_similarity	1	S1	global	sequential	0.8365	2.38	111	0.9910714285714286
G3S-7ad16b5be174b17e	G3S-ab8ecdc323a69568	validated_structural_similarity	1	S1	global	sequential	0.8533	2.44	255	0.9586466165413534
G3S-7ad16b5be174b17e	G3S-ba437efd56c85d19	validated_structural_similarity	1	S1	global	sequential	0.8661	2.34	255	0.9586466165413534
G3S-7ad16b5be174b17e	G3S-c1bf0bf4ec7b8cf8	validated_structural_similarity	1	S1	global	sequential	0.8257	2.76	247	0.95
G3S-7ad16b5be174b17e	G3S-c6c69878bad91dca	validated_structural_similarity	1	S1	global	sequential	0.8084	3.08	251	0.9507575757575758
G3S-7ad16b5be174b17e	G3S-e1d12f0e7fc3ce7f	validated_structural_similarity	1	S1	global	sequential	0.8108	2.96	250	0.9578544061302682
G3S-7ad16b5be174b17e	G3S-fb6cb3a33814d85e	validated_structural_similarity	1	S1	global	sequential	0.8395	2.54	253	0.9511278195488722
G3S-8afbd56096fe1b47	G3S-9838f6e0d45906f5	validated_structural_similarity	1	S1	global	sequential	0.7128	2.25	109	0.8582677165354331
G3S-8afbd56096fe1b47	G3S-de0a2a7c1887af78	validated_structural_similarity	1	S1	global	sequential	0.8037	2.48	112	1.0
G3S-9838f6e0d45906f5	G3S-de0a2a7c1887af78	validated_structural_similarity	1	S1	global	sequential	0.8135	2.01	107	0.9553571428571429
G3S-ab8ecdc323a69568	G3S-ba437efd56c85d19	validated_structural_similarity	1	S1	global	sequential	0.7338	2.68	256	0.8205128205128205
G3S-ab8ecdc323a69568	G3S-c1bf0bf4ec7b8cf8	validated_structural_similarity	1	S1	global	sequential	0.7963	2.97	244	0.9384615384615385
G3S-ab8ecdc323a69568	G3S-c6c69878bad91dca	validated_structural_similarity	1	S1	global	sequential	0.8118	2.92	246	0.9318181818181818
G3S-ab8ecdc323a69568	G3S-e1d12f0e7fc3ce7f	validated_structural_similarity	1	S1	global	sequential	0.8074	2.68	242	0.9272030651340997
G3S-ab8ecdc323a69568	G3S-fb6cb3a33814d85e	validated_structural_similarity	1	S1	global	sequential	0.7812	3.02	255	0.897887323943662
G3S-b9a14ea86c9556ea	G3S-cf9073a054dd1e8c	validated_structural_similarity	1	S1	global	sequential	0.8757	2.34	212	0.986046511627907
G3S-b9a14ea86c9556ea	G3S-fd168e6ca4c62f5c	validated_structural_similarity	1	S1	global	sequential	0.8529	2.35	207	0.9857142857142858
G3S-ba437efd56c85d19	G3S-c1bf0bf4ec7b8cf8	validated_structural_similarity	1	S1	global	sequential	0.7855	3.06	241	0.926923076923077
G3S-ba437efd56c85d19	G3S-c6c69878bad91dca	validated_structural_similarity	2	S1	global;pocket	fully_nonsequential;sequential	0.8216	3.03	248	0.9393939393939394
G3S-ba437efd56c85d19	G3S-e1d12f0e7fc3ce7f	validated_structural_similarity	1	S1	global	sequential	0.8286	2.67	246	0.9425287356321839
G3S-ba437efd56c85d19	G3S-fb6cb3a33814d85e	validated_structural_similarity	3	S1	global;pocket	fully_nonsequential;sequential	0.816	2.79	264	0.9295774647887324
G3S-c1bf0bf4ec7b8cf8	G3S-c6c69878bad91dca	validated_structural_similarity	1	S1	global	sequential	0.8012	2.76	241	0.926923076923077
G3S-c1bf0bf4ec7b8cf8	G3S-e1d12f0e7fc3ce7f	validated_structural_similarity	1	S1	global	sequential	0.787	2.55	235	0.9038461538461539
G3S-c1bf0bf4ec7b8cf8	G3S-fb6cb3a33814d85e	validated_structural_similarity	1	S1	global	sequential	0.8277	2.38	243	0.9346153846153846
G3S-c6c69878bad91dca	G3S-e1d12f0e7fc3ce7f	validated_structural_similarity	1	S1	global	sequential	0.8586	2.23	248	0.9501915708812261
G3S-c6c69878bad91dca	G3S-fb6cb3a33814d85e	validated_structural_similarity	3	S1	global;pocket	fully_nonsequential;sequential	0.8738	2.09	251	0.9507575757575758
G3S-cf9073a054dd1e8c	G3S-fd168e6ca4c62f5c	validated_structural_similarity	1	S1	global	sequential	0.7512	2.38	182	0.8666666666666667
G3S-e1d12f0e7fc3ce7f	G3S-fb6cb3a33814d85e	validated_structural_similarity	1	S1	global	sequential	0.8457	2.53	250	0.9578544061302682
