audit_id	series_id	observation_id	affinity_extreme	source_replicate_index	consensus_pKd	consensus_source_Kd_nM	ligand_inchikey	canonical_smiles	publication_id	target_class	publication_era	site_reference_pdb_id	site_reference_ligand_comp_id	bindingdb_BindingDB Reactant_set_id	bindingdb_BindingDB Ligand Name	bindingdb_Target Name	bindingdb_Kd (nM)	bindingdb_pH	bindingdb_Temp (C)	bindingdb_Curation/DataSource	bindingdb_Article DOI	bindingdb_PMID	bindingdb_Authors	bindingdb_Institution	bindingdb_Date of publication	bindingdb_PDB ID(s) for Ligand-Target Complex
G3AUD-001	G3S-03ecbf7361b64421	G3S-03ecbf7361b64421-L0003	lowest_pKd	1	6.64397414281	227	LBEUOFYUAJUPQX-UHFFFAOYSA-N	O=C1c2cccc3cccc(c23)N1c1ccc(-c2ccccc2)cc1	doi:10.1021/acs.jmedchem.7b01243	lipidated_cargo_binding_protein	2017-2023	5X74	JAY	50781456	CHEMBL4083592	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	 227			ChEMBL	10.1021/acs.jmedchem.7b01243	28929751	Jiang, Y; Zhuang, C; Chen, L; Lu, J; Dong, G; Miao, Z; Zhang, W; Li, J; Sheng, C	Second Military Medical University	11/22/2017	
G3AUD-002	G3S-03ecbf7361b64421	G3S-03ecbf7361b64421-L0001	highest_pKd	1	8.65757731918	2.2	HZNKNJCWLQLQMJ-UHFFFAOYSA-N	Cc1ccc(-n2nc3c(=O)n(CCCC(=O)NCC(C)c4ccccc4)nc(C)c3c2C)cc1	doi:10.1021/acs.jmedchem.7b01243	lipidated_cargo_binding_protein	2017-2023	5X74	JAY	50781450	CHEMBL1387422	Retinal rod rhodopsin-sensitive cGMP 3',5'-cyclic phosphodiesterase subunit delta	 2.2			ChEMBL	10.1021/acs.jmedchem.7b01243	28929751	Jiang, Y; Zhuang, C; Chen, L; Lu, J; Dong, G; Miao, Z; Zhang, W; Li, J; Sheng, C	Second Military Medical University	11/22/2017	
G3AUD-003	G3S-0c2b41bb223d8483	G3S-0c2b41bb223d8483-L0019	lowest_pKd	1	5.97881070093	1050	QRIAJIVDARKHTF-UHFFFAOYSA-N	Cc1cc(Cn2c(N3CCNCC3)nc3c(-c4ccc(C(F)(F)F)cc4)cc(Cl)cc32)cc(C)c1F	doi:10.1021/acs.jmedchem.8b01108	protein_protein_interaction_regulator	2017-2023	6D55	FWA	51120578	CHEMBL4210407	Son of sevenless homolog 1	 1050			ChEMBL	10.1021/acs.jmedchem.8b01108	30205005	Hodges, TR; Abbott, JR; Little, AJ; Sarkar, D; Salovich, JM; Howes, JE; Akan, DT; Sai, J; Arnold, AL; Browning, C; Burns, MC; Sobolik, T; Sun, Q; Beesetty, Y; Coker, JA; Scharn, D; Stadtmueller, H; Rossanese, OW; Phan, J; Waterson, AG; McConnell, DB; Fesik, SW	Boehringer Ingelheim Rcv	10/11/2018	
G3AUD-004	G3S-0c2b41bb223d8483	G3S-0c2b41bb223d8483-L0028	highest_pKd	1	8.04575749056	9	WYYRAJGTUGUYGY-UHFFFAOYSA-N	Cc1cc(Cn2c(N3CC4(CNC4)C3)nc3c(-c4c(C)n[nH]c4C)cc(Cl)cc32)cc(C)c1F	doi:10.1021/acs.jmedchem.8b01108	protein_protein_interaction_regulator	2017-2023	6D55	FWA	51120594	CHEMBL4214703	Son of sevenless homolog 1	 9.0			ChEMBL	10.1021/acs.jmedchem.8b01108	30205005	Hodges, TR; Abbott, JR; Little, AJ; Sarkar, D; Salovich, JM; Howes, JE; Akan, DT; Sai, J; Arnold, AL; Browning, C; Burns, MC; Sobolik, T; Sun, Q; Beesetty, Y; Coker, JA; Scharn, D; Stadtmueller, H; Rossanese, OW; Phan, J; Waterson, AG; McConnell, DB; Fesik, SW	Boehringer Ingelheim Rcv	10/11/2018	
G3AUD-005	G3S-0d6ea790d633fb5e	G3S-0d6ea790d633fb5e-L0011	lowest_pKd	1	3.39469495386	403000	IQUXPEZGFSJPFM-UHFFFAOYSA-N	COC(=O)c1ccc(-c2cccc3c2CSC[C@H](C(=O)N(C)C)NC(=O)[C@H](NC(=O)[C@@H]2CCCN2C(C)=O)COC3=O)cc1	doi:10.1021/acs.jmedchem.1c01975	protein_protein_interaction_regulator	2017-2023	7Q6Q	8ZL	51447493	CHEMBL5083962	Kelch-like ECH-associated protein 1	 403000			ChEMBL	10.1021/acs.jmedchem.1c01975	35108001	Begnini, F; Geschwindner, S; Johansson, P; Wissler, L; Lewis, RJ; Danelius, E; Luttens, A; Matricon, P; Carlsson, J; Lenders, S; König, B; Friedel, A; Sjö, P; Schiesser, S; Kihlberg, J	Uppsala University	2/24/2022	
G3AUD-006	G3S-0d6ea790d633fb5e	G3S-0d6ea790d633fb5e-L0015	highest_pKd	1	7.55311911897	29;27	LOJAQLGCTHYMMK-UHFFFAOYSA-N	CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3cc(F)c(C(=O)O)c(F)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O	doi:10.1021/acs.jmedchem.1c01975	protein_protein_interaction_regulator	2017-2023	7Q6Q	8ZL	51447502	CHEMBL5089816	Kelch-like ECH-associated protein 1	 29			ChEMBL	10.1021/acs.jmedchem.1c01975	35108001	Begnini, F; Geschwindner, S; Johansson, P; Wissler, L; Lewis, RJ; Danelius, E; Luttens, A; Matricon, P; Carlsson, J; Lenders, S; König, B; Friedel, A; Sjö, P; Schiesser, S; Kihlberg, J	Uppsala University	2/24/2022	
G3AUD-007	G3S-0d6ea790d633fb5e	G3S-0d6ea790d633fb5e-L0015	highest_pKd	2	7.55311911897	29;27	LOJAQLGCTHYMMK-UHFFFAOYSA-N	CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3cc(F)c(C(=O)O)c(F)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O	doi:10.1021/acs.jmedchem.1c01975	protein_protein_interaction_regulator	2017-2023	7Q6Q	8ZL	51447521	CHEMBL5089816	Kelch-like ECH-associated protein 1	 27			ChEMBL	10.1021/acs.jmedchem.1c01975	35108001	Begnini, F; Geschwindner, S; Johansson, P; Wissler, L; Lewis, RJ; Danelius, E; Luttens, A; Matricon, P; Carlsson, J; Lenders, S; König, B; Friedel, A; Sjö, P; Schiesser, S; Kihlberg, J	Uppsala University	2/24/2022	
G3AUD-008	G3S-1f6e9ae98fcbd583	G3S-1f6e9ae98fcbd583-L0013	lowest_pKd	1	2.95860731484	1100000	OCLJMASRJGRPNQ-UHFFFAOYSA-N	Oc1cc(F)ccc1CNc1ncccc1-c1cccs1	doi:10.1021/acs.jmedchem.3c00590	protease	2017-2023	4NBL	2J6	51550688	CHEMBL5415444	Caspase-6	 1100000			ChEMBL	10.1021/acs.jmedchem.3c00590	37406165	n/a	n/a	7/27/2023	
G3AUD-009	G3S-1f6e9ae98fcbd583	G3S-1f6e9ae98fcbd583-L0014	highest_pKd	1	7.09691001301	80	OJJZLXTYPOUKMM-UHFFFAOYSA-N	Oc1cc(F)ccc1CNc1ncccc1-c1nccnn1	doi:10.1021/acs.jmedchem.3c00590	protease	2017-2023	4NBL	2J6	51550687	CHEMBL5419962	Caspase-6	 80			ChEMBL	10.1021/acs.jmedchem.3c00590	37406165	n/a	n/a	7/27/2023	
G3AUD-010	G3S-237de531113c65a9	G3S-237de531113c65a9-L0001	lowest_pKd	1	4.35654732351	44000	BXZVVICBKDXVGW-UHFFFAOYSA-N	O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1	doi:10.1016/j.bmcl.2015.05.099	serum_transport_protein	2010-2016	3B9M	MYR	50386017	BMY-40900::DDI::DIDANOSINE	Albumin	 44000			ChEMBL	10.1016/j.bmcl.2015.05.099	26112446	Visalli, RJ; Ziobrowski, H; Badri, KR; He, JJ; Zhang, X; Arumugam, SR; Zhao, H	Mercer University	7/6/2015	1V3Q
