construct_group_1	construct_group_2	edge_type	evidence_count	evidence_views	evidence_regions	evidence_modes	maximum_tm_score	best_rmsd_angstrom	best_aligned_length	best_aligned_fraction_of_shorter
construct-002-cb5cf2af5e4a	construct-003-fbf3f5c695a3	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8016	1.87	104	0.9285714285714286
construct-002-cb5cf2af5e4a	construct-012-90b947063061	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8187	2.22	112	1.0
construct-002-cb5cf2af5e4a	construct-016-fad0d613c720	validated_structural_similarity	1	S1	global	sequential	0.8612	1.68	110	0.9821428571428571
construct-002-cb5cf2af5e4a	construct-027-baf0440a45db	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8464	1.68	107	0.9553571428571429
construct-002-cb5cf2af5e4a	construct-039-90fec4b83698	validated_structural_similarity	3	S1	global;pocket	fully_nonsequential;sequential	0.8661	1.93	110	0.9821428571428571
construct-003-fbf3f5c695a3	construct-012-90b947063061	validated_structural_similarity	1	S1	global	sequential	0.7252	2.11	106	0.8548387096774194
construct-003-fbf3f5c695a3	construct-016-fad0d613c720	validated_structural_similarity	1	S1	global	sequential	0.8478	1.48	108	0.907563025210084
construct-003-fbf3f5c695a3	construct-027-baf0440a45db	validated_structural_similarity	1	S1	global	sequential	0.8258	1.42	104	0.896551724137931
construct-003-fbf3f5c695a3	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.7868	1.86	103	0.911504424778761
construct-005-6f4aa0a92e90	construct-022-46b8fca0fc9d	validated_structural_similarity	2	S1;S2	global	sequential	0.8093	3.66	384	0.9696969696969697
construct-007-c863deb44383	construct-013-989a0da4f5c7	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	147	1.0
construct-007-c863deb44383	construct-019-1be38543a2db	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	147	1.0
construct-007-c863deb44383	construct-051-31c871f0f628	validated_structural_similarity	1	S1	global	sequential	0.5189	3.48	86	0.7478260869565218
construct-008-60863bf56b3f	construct-028-c2d68d73bda9	validated_structural_similarity	2	S1;S2	pocket	fully_nonsequential	0.6772	2.42	8	1.0
construct-012-90b947063061	construct-016-fad0d613c720	validated_structural_similarity	1	S1	global	sequential	0.776	2.11	111	0.9327731092436975
construct-012-90b947063061	construct-026-997c3e281e6e	validated_structural_similarity	1	S1	global	sequential	0.5019	4.33	107	0.823076923076923
construct-012-90b947063061	construct-027-baf0440a45db	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8022	1.98	107	0.9224137931034483
construct-012-90b947063061	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.7967	2.51	109	0.9646017699115044
construct-013-989a0da4f5c7	construct-019-1be38543a2db	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	147	1.0
construct-013-989a0da4f5c7	construct-051-31c871f0f628	validated_structural_similarity	1	S1	global	sequential	0.5148	3.46	86	0.7478260869565218
construct-014-d42e073edd05	construct-033-4212e6c5e472	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	0.9386	1.22	218	0.9775784753363229
construct-015-e6a24c903c1e	construct-062-9efbec4633b7	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	260	1.0
construct-016-fad0d613c720	construct-027-baf0440a45db	validated_structural_similarity	1	S1	global	sequential	0.847	1.97	111	0.9568965517241379
construct-016-fad0d613c720	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.8263	2.02	108	0.9557522123893806
construct-019-1be38543a2db	construct-051-31c871f0f628	validated_structural_similarity	1	S1	global	sequential	0.5189	3.48	86	0.7478260869565218
construct-020-2acb35da5928	construct-066-cf6ef633d328	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.9813	0.75	256	0.9961089494163424
construct-026-997c3e281e6e	construct-028-c2d68d73bda9	validated_structural_similarity	2	S1;S2	pocket	fully_nonsequential	0.571	2.16	8	1.0
construct-026-997c3e281e6e	construct-065-c6820d7c5ca9	validated_structural_similarity	4	S1;S2	pocket	fully_nonsequential;sequential	0.5471	1.58	21	0.875
construct-027-baf0440a45db	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.8149	1.89	105	0.9292035398230089
construct-030-2c56ee04d79a	construct-068-e4ce5a06fca5	validated_structural_similarity	1	S2	global	sequential	0.5017	4.42	178	0.6617100371747212
construct-031-37b3e0822467	construct-065-c6820d7c5ca9	validated_structural_similarity	4	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	732	1.0
construct-034-4b9e20d92aa0	construct-046-e314686107a8	validated_structural_similarity	2	S1;S2	global	sequential	0.8532	2.43	255	0.9586466165413534
construct-034-4b9e20d92aa0	construct-050-27409f179f54	validated_structural_similarity	2	S1;S2	global	sequential	0.8497	2.49	255	0.9586466165413534
construct-034-4b9e20d92aa0	construct-056-5e2cf644e754	validated_structural_similarity	4	S1;S2	global;pocket	fully_nonsequential;sequential	0.8022	3.05	252	0.9473684210526315
construct-034-4b9e20d92aa0	construct-057-64fd661d958f	validated_structural_similarity	2	S1;S2	global	sequential	0.9303	1.63	261	0.981203007518797
construct-034-4b9e20d92aa0	construct-061-920a294dd28c	validated_structural_similarity	2	S1;S2	global	sequential	0.8305	2.58	252	0.9473684210526315
construct-040-ac2363267f3b	construct-056-5e2cf644e754	validated_structural_similarity	1	S2	global	sequential	0.5266	3.57	93	0.7622950819672131
construct-042-b818769d59cf	construct-043-bfab01cca0a7	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.7888	2.41	99	0.9801980198019802
construct-042-b818769d59cf	construct-054-50c213a0f7bf	validated_structural_similarity	1	S2	global	sequential	0.7333	3.29	361	0.8204545454545454
construct-046-e314686107a8	construct-050-27409f179f54	validated_structural_similarity	2	S1;S2	global	sequential	0.7691	2.72	256	0.8707482993197279
construct-046-e314686107a8	construct-056-5e2cf644e754	validated_structural_similarity	2	S1;S2	global	sequential	0.7802	2.84	246	0.9010989010989011
construct-046-e314686107a8	construct-057-64fd661d958f	validated_structural_similarity	2	S1;S2	global	sequential	0.8112	2.23	254	0.8943661971830986
construct-046-e314686107a8	construct-061-920a294dd28c	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	391	1.0
construct-050-27409f179f54	construct-056-5e2cf644e754	validated_structural_similarity	1	S1	global	sequential	0.7851	2.7	246	0.9010989010989011
construct-050-27409f179f54	construct-057-64fd661d958f	validated_structural_similarity	2	S1;S2	global	sequential	0.7962	2.66	255	0.897887323943662
construct-050-27409f179f54	construct-061-920a294dd28c	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	0.7671	2.71	255	0.8673469387755102
construct-056-5e2cf644e754	construct-057-64fd661d958f	validated_structural_similarity	2	S1;S2	global	sequential	0.7945	2.8	249	0.9120879120879121
construct-056-5e2cf644e754	construct-061-920a294dd28c	validated_structural_similarity	2	S1;S2	global	sequential	0.7803	2.67	243	0.8901098901098901
construct-057-64fd661d958f	construct-061-920a294dd28c	validated_structural_similarity	2	S1;S2	global	sequential	0.7939	2.34	251	0.8838028169014085
