construct_group_1	construct_group_2	edge_type	evidence_count	evidence_views	evidence_regions	evidence_modes	maximum_tm_score	best_rmsd_angstrom	best_aligned_length	best_aligned_fraction_of_shorter
construct-002-cb5cf2af5e4a	construct-003-fbf3f5c695a3	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8016	1.87	104	0.9285714285714286
construct-002-cb5cf2af5e4a	construct-012-90b947063061	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8187	2.22	112	1.0
construct-002-cb5cf2af5e4a	construct-016-fad0d613c720	validated_structural_similarity	1	S1	global	sequential	0.8612	1.68	110	0.9821428571428571
construct-002-cb5cf2af5e4a	construct-027-baf0440a45db	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8464	1.68	107	0.9553571428571429
construct-002-cb5cf2af5e4a	construct-039-90fec4b83698	validated_structural_similarity	3	S1	global;pocket	fully_nonsequential;sequential	0.8661	1.93	110	0.9821428571428571
construct-003-fbf3f5c695a3	construct-012-90b947063061	validated_structural_similarity	1	S1	global	sequential	0.7252	2.11	106	0.8548387096774194
construct-003-fbf3f5c695a3	construct-016-fad0d613c720	validated_structural_similarity	1	S1	global	sequential	0.8478	1.48	108	0.907563025210084
construct-003-fbf3f5c695a3	construct-027-baf0440a45db	validated_structural_similarity	1	S1	global	sequential	0.8258	1.42	104	0.896551724137931
construct-003-fbf3f5c695a3	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.7868	1.86	103	0.911504424778761
construct-005-6f4aa0a92e90	construct-022-46b8fca0fc9d	validated_structural_similarity	2	S1;S2	global	sequential	0.8093	3.66	384	0.9696969696969697
construct-007-c863deb44383	construct-013-989a0da4f5c7	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	147	1.0
construct-007-c863deb44383	construct-019-1be38543a2db	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	147	1.0
construct-008-60863bf56b3f	construct-028-c2d68d73bda9	validated_structural_similarity	2	S1;S2	pocket	fully_nonsequential	0.6772	2.42	8	1.0
construct-012-90b947063061	construct-016-fad0d613c720	validated_structural_similarity	1	S1	global	sequential	0.776	2.11	111	0.9327731092436975
construct-012-90b947063061	construct-026-997c3e281e6e	validated_structural_similarity	1	S1	global	sequential	0.5019	4.33	107	0.823076923076923
construct-012-90b947063061	construct-027-baf0440a45db	validated_structural_similarity	3	S1;S2	global;pocket	fully_nonsequential;sequential	0.8022	1.98	107	0.9224137931034483
construct-012-90b947063061	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.7967	2.51	109	0.9646017699115044
construct-013-989a0da4f5c7	construct-019-1be38543a2db	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	1.0	0.0	147	1.0
construct-014-d42e073edd05	construct-033-4212e6c5e472	validated_structural_similarity	6	S1;S2	global;pocket	fully_nonsequential;sequential	0.9386	1.22	218	0.9775784753363229
construct-016-fad0d613c720	construct-027-baf0440a45db	validated_structural_similarity	1	S1	global	sequential	0.847	1.97	111	0.9568965517241379
construct-016-fad0d613c720	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.8263	2.02	108	0.9557522123893806
construct-026-997c3e281e6e	construct-028-c2d68d73bda9	validated_structural_similarity	2	S1;S2	pocket	fully_nonsequential	0.571	2.16	8	1.0
construct-027-baf0440a45db	construct-039-90fec4b83698	validated_structural_similarity	1	S1	global	sequential	0.8149	1.89	105	0.9292035398230089
construct-034-4b9e20d92aa0	construct-046-e314686107a8	validated_structural_similarity	2	S1;S2	global	sequential	0.8532	2.43	255	0.9586466165413534
construct-042-b818769d59cf	construct-043-bfab01cca0a7	validated_structural_similarity	5	S1;S2	global;pocket	fully_nonsequential;sequential	0.7888	2.41	99	0.9801980198019802
