observation_id	construct_group_id	union_component_id	bemis_murcko_scaffold	maximum_cross_construct_ecfp_tanimoto	maximum_cross_construct_full_sequence_identity	maximum_cross_construct_site_sequence_identity	incident_relation_types
RCSB-4UGY-EXI-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	c1ccc(CCc2cccnc2)nc1	0.15789473684210525	0.2393617021276596	0.2727272727272727	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication
RCSB-4UGR-6E5-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	N=C(Nc1cccc(COCC2CC(OCc3cccc(NC(=N)c4cccs4)c3)CN2)c1)c1cccs1	0.24050632911392406	0.2393617021276596	0.2727272727272727	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication
RCSB-4UGA-Q05-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	c1ccc(CCNCc2cccc(OCc3ccccn3)c2)cc1	0.21951219512195122	0.2393617021276596	0.2727272727272727	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication
RCSB-4UG5-XFK-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	c1ccc(CCc2cncc(CCc3ccncc3)c2)nc1	0.22641509433962265	0.2393617021276596	0.2727272727272727	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication
RCSB-4UG6-XFJ-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	c1ccc(CCc2cncc(CCc3ccccn3)c2)nc1	0.20408163265306123	0.2393617021276596	0.2727272727272727	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication
RCSB-4UG8-HW1-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	c1ccc(CCCCCOC2CNCC2Cc2ccccn2)nc1	0.16901408450704225	0.2393617021276596	0.2727272727272727	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication
RCSB-4UGS-H36-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	N=C(Nc1cccc(OCCOc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1	0.22058823529411764	0.2393617021276596	0.2727272727272727	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication
RCSB-4UGM-1QE-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	N=C(Nc1cccc(CCc2cccc(NC(=N)c3cccs3)c2)c1)c1cccs1	0.2647058823529412	0.2393617021276596	0.2727272727272727	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication
RCSB-4UGI-SKO-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	c1ccc(CCc2ccccn2)nc1	0.18032786885245902	0.2393617021276596	0.2727272727272727	exact_construct;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication
RCSB-4UG7-1EV-KD	construct-001-c5158f5b655d	union-fd8f6064dd3f	c1ccc(CCc2cccc(CCc3ccccn3)c2)nc1	0.1917808219178082	0.2393617021276596	0.2727272727272727	exact_construct;exact_scaffold;full_sequence;ligand_tanimoto;local_site_sequence;shared_measurement_publication;shared_structure_publication
